Wed Feb 18 22:19:45 1970 | INFO  | loadConfig                               | Config loaded
Wed Feb 18 22:19:45 1970 | INFO  | initializeDisplay                        | well...
Wed Feb 18 22:19:45 1970 | INFO  | initializeDisplay                        | maybe...
Wed Feb 18 22:19:45 1970 | INFO  | initializeDisplay                        | Some Available modes
Wed Feb 18 22:19:46 1970 | INFO  | initializeDisplay                        | Initialized Display
Wed Feb 18 22:19:46 1970 | INFO  | initializeFonts                          | Fonts initialized
Wed Feb 18 22:19:46 1970 | INFO  | initializeSettingsFonts                  | Initializing Settings Fonts
Wed Feb 18 22:19:46 1970 | INFO  | initializeSettingsFonts                  | Settings Fonts initialized
Wed Feb 18 22:19:46 1970 | INFO  | checkThemes                              | Themes checked
Wed Feb 18 22:19:46 1970 | INFO  | loadLastState                            | Last state loaded
Wed Feb 18 22:19:46 1970 | INFO  | HW_Init                                  | HW Initialized
Wed Feb 18 22:19:46 1970 | INFO  | setupKeys                                | Input successfully configured
Wed Feb 18 22:19:46 1970 | INFO  | main                                     | Setup 2
Wed Feb 18 22:19:46 1970 | INFO  | initialSetup2                            | Loading theme
Wed Feb 18 22:19:46 1970 | INFO  | initialSetup2                            | Loading section groups
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | Entering
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | /media/data/local/home/.simplemenu/section_groups/
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | It's a dir
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | It's a dir
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | It's a file
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | /media/data/local/home/.simplemenu/section_groups/arcades.png
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | It's a file
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | /media/data/local/home/.simplemenu/section_groups/handhelds.ini
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | It's a file
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | /media/data/local/home/.simplemenu/section_groups/home computers.png
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | It's a file
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | /media/data/local/home/.simplemenu/section_groups/arcades.ini
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | It's a file
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | /media/data/local/home/.simplemenu/section_groups/apps and games.png
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | It's a file
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | /media/data/local/home/.simplemenu/section_groups/handhelds.png
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | It's a file
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | /media/data/local/home/.simplemenu/section_groups/consoles.ini
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | It's a file
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | /media/data/local/home/.simplemenu/section_groups/apps and games.ini
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | It's a file
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | /media/data/local/home/.simplemenu/section_groups/home computers.ini
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | It's a file
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | /media/data/local/home/.simplemenu/section_groups/consoles.png
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Feb 18 22:19:46 1970 | INFO  | recursivelyScanDirectory                 | No entry
Wed Feb 18 22:19:46 1970 | INFO  | loadSectionGroups                        | Loading group background
Wed Feb 18 22:19:46 1970 | INFO  | loadSectionGroups                        | Loading group background
Wed Feb 18 22:19:46 1970 | INFO  | loadSectionGroups                        | Loading group background
Wed Feb 18 22:19:46 1970 | INFO  | loadSectionGroups                        | Loading group background
Wed Feb 18 22:19:46 1970 | INFO  | loadSectionGroups                        | Loading group background
Wed Feb 18 22:19:46 1970 | INFO  | loadSectionGroups                        | Loaded section groups
Wed Feb 18 22:19:46 1970 | INFO  | initialSetup2                            | Loading sections
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | GAME BOY
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | Current exec ready
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | free as a bird
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | free as a bird 2
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | Executable set
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | Setting logo, background and system
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | Set
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | Out
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | GAME BOY COLOR
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | Current exec ready
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | free as a bird
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | free as a bird 2
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | Executable set
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | Setting logo, background and system
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | Set
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | Out
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | GAME BOY ADVANCE
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | Current exec ready
Wed Feb 18 22:19:46 1970 | INFO  | loadSections                             | free as a bird
